Adult_IP	Sup_IP	LTR_type	family	HOG	cons	strand	length	dt	Adult_IP_rpkm	Sup_IP_rpkm	sim_LTR	length_centred
int_As:2498	5.01258020145959	14.7529389673659	int	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	3.45362407359145	1	0.849670133487328	2.38663873273956	int	0.48716694848251
int_As:2502	8.8035936684808	22.5382076565527	int	rnd-1_family-995	N0.HOG0000010_OG0000006_n0	HC	As	3.01994668167884	1	3.08958763720929	4.4350173779902	int	0.0534895565699012
int_As:2504	18.0370765013169	58.028970665717	int	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	3.03742649794062	1	4.05725991137531	5.73708474210544	int	0.0709693728316827
LTR_As:2543	0.792481619422006	1.67189394966079	LTR	rnd-4_family-450	N0.HOG0000010_OG0000006_n0	HC	As	2.14301480025409	1	2.69758004422826	3.67962204627272	LTR	-0.823442324854846
int_As:2548	4.63389834453468	1.93895828747285	int	rnd-4_family-1891	N0.HOG0000003_OG0000003_n0	C	As	2.29885307640971	0	4.57485544932141	3.36373799598168	int	-0.667604048699234
int_As:2580	35.7374747522365	130.092166668215	int	rnd-4_family-1379	N0.HOG0000010_OG0000006_n0	HC	As	3.21879799811174	1	4.43693057896661	6.29776900149301	int	0.252340873002797
LTR_As:2607	1.8303686297752	0.856820691744495	LTR	rnd-1_family-706	N0.HOG0000070_OG0000056_n0	C	As	2.47567118832443	0	2.69738968462291	1.69190743815061	LTR	-0.490785936784512
int_As:2645	21.4432632878366	45.4041153318539	int	rnd-4_family-356	no_RT	Other	As	3.30276370847298	1	3.42401324185003	4.50245698240076	int	0.336306583364041
int_As:2651	24.6938872192989	13.0512131487923	int	rnd-1_family-651	N0.HOG0000016_OG0000008_n0	HC	As	3.41178800454387	0	3.26451507409344	2.35018087340021	int	0.445330879434928
int_As:2727	50.3105463700586	25.1793218641184	int	rnd-5_family-8573	N0.HOG0000009_OG0000005_n23	HC	As	3.61898892036493	0	3.59967868466936	2.60416275938713	int	0.652531795255992
soloLTR_As:2734	2.1823716956674	0.869897145974321	soloLTR	rnd-4_family-1829	N0.HOG0000016_OG0000008_n0	HC	As	2.59988307207369	0	2.52544606945648	1.29999815021629	soloLTR	-0.366574053035253
int_As:2763	52.6501098097652	102.785727191208	int	rnd-5_family-2789	N0.HOG0000003_OG0000003_n0	C	As	3.84185980977506	1	2.92475295903587	3.88842816907707	int	0.87540268466612
